name,letters,numerology_total,length,pronounce_score,linguistic_flags,meaning_story,domain_com,domain_in,handle_x,handle_instagram,handle_linkedin,mca_similarity_hit,tm_hit_class_35_36_41_42,distinctiveness_score,overall_score,scoring_notes
vedas,V(6)+E(5)+D(4)+A(1)+S(3),19,5,10,,Represents ancient Vedic wisdom guiding modern financial decisions,available,parked,free,taken,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
prajer,P(8)+R(2)+A(1)+J(1)+E(5)+R(2),19,6,10,,Represents excellence in financial technology solutions,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
netrar,N(5)+E(5)+T(4)+R(2)+A(1)+R(2),19,6,10,,Symbolizes clarity and growth in investment guidance,taken,parked,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
netrra,N(5)+E(5)+T(4)+R(2)+R(2)+A(1),19,6,8,,Represents excellence in financial technology solutions,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*8 + 0.20*10 + 0.15*7 + 0.10*10
ojaser,O(7)+J(1)+A(1)+S(3)+E(5)+R(2),19,6,10,,Represents vital strength in market challenges,taken,parked,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
shaktiar,S(3)+H(5)+A(1)+K(2)+T(4)+I(1)+A(1)+R(2),19,8,10,,Embodies trust and innovation in financial advisory,available,available,free,free,free,,exact,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*10 + 0.10*10
veera,V(6)+E(5)+E(5)+R(2)+A(1),19,5,10,,Conveys reliability and success in wealth management,parked,taken,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
dharmar,D(4)+H(5)+A(1)+R(2)+M(4)+A(1)+R(2),19,7,9,,Symbolizes clarity and growth in investment guidance,available,available,free,taken,free,,close,9,9,0.35*9 + 0.20*9 + 0.20*10 + 0.15*7 + 0.10*10
yogaer,Y(1)+O(7)+G(3)+A(1)+E(5)+R(2),19,6,10,,Represents perfect union of technology and wisdom,parked,taken,free,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*10 + 0.10*10
melaah,M(4)+E(5)+L(3)+A(1)+A(1)+H(5),19,6,10,,Embodies trust and innovation in financial advisory,parked,taken,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
melaan,M(4)+E(5)+L(3)+A(1)+A(1)+N(5),19,6,10,,Conveys reliability and success in wealth management,parked,available,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
melaix,M(4)+E(5)+L(3)+A(1)+I(1)+X(5),19,6,10,,Embodies trust and innovation in financial advisory,available,available,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
safalar,S(3)+A(1)+F(8)+A(1)+L(3)+A(1)+R(2),19,7,10,,Represents success-oriented financial advisory platform,taken,parked,free,free,taken,true,none,10,9,0.35*10 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
safalra,S(3)+A(1)+F(8)+A(1)+L(3)+R(2)+A(1),19,7,10,,Represents success-oriented financial advisory platform,parked,taken,free,free,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
phalya,P(8)+H(5)+A(1)+L(3)+Y(1)+A(1),19,6,9,,Represents excellence in financial technology solutions,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*9 + 0.20*10 + 0.15*7 + 0.10*10
vikasah,V(6)+I(1)+K(2)+A(1)+S(3)+A(1)+H(5),19,7,10,,Represents development and growth in wealth creation,taken,available,free,taken,taken,,close,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vikasix,V(6)+I(1)+K(2)+A(1)+S(3)+I(1)+X(5),19,7,10,,Represents development and growth in wealth creation,available,parked,taken,taken,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
pragat,P(8)+R(2)+A(1)+G(3)+A(1)+T(4),19,6,10,,Represents progressive advancement in financial planning,parked,available,taken,free,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
charhar,C(3)+H(5)+A(1)+R(2)+H(5)+A(1)+R(2),19,7,10,,Represents excellence in financial technology solutions,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
saafah,S(3)+A(1)+A(1)+F(8)+A(1)+H(5),19,6,10,,Signifies wisdom and prosperity for advisors,taken,parked,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
saafan,S(3)+A(1)+A(1)+F(8)+A(1)+N(5),19,6,10,,Symbolizes clarity and growth in investment guidance,taken,available,free,taken,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
saafix,S(3)+A(1)+A(1)+F(8)+I(1)+X(5),19,6,10,,Conveys reliability and success in wealth management,available,available,taken,free,taken,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
upkar,U(6)+P(8)+K(2)+A(1)+R(2),19,5,10,,Embodies trust and innovation in financial advisory,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
himmat,H(5)+I(1)+M(4)+M(4)+A(1)+T(4),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
keenay,K(2)+E(5)+E(5)+N(5)+A(1)+Y(1),19,6,10,,Symbolizes clarity and growth in investment guidance,available,taken,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
keenya,K(2)+E(5)+E(5)+N(5)+Y(1)+A(1),19,6,10,,Conveys reliability and success in wealth management,available,available,free,taken,free,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
quickah,Q(1)+U(6)+I(1)+C(3)+K(2)+A(1)+H(5),19,7,10,,Symbolizes clarity and growth in investment guidance,available,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
cleanay,C(3)+L(3)+E(5)+A(1)+N(5)+A(1)+Y(1),19,7,10,,Signifies wisdom and prosperity for advisors,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
nova,N(5)+O(7)+V(6)+A(1),19,4,10,,Represents new star rising in financial technology,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
newra,N(5)+E(5)+W(6)+R(2)+A(1),19,5,10,,Embodies trust and innovation in financial advisory,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
edgeay,E(5)+D(4)+G(3)+E(5)+A(1)+Y(1),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
wavea,W(6)+A(1)+V(6)+E(5)+A(1),19,5,10,,Conveys reliability and success in wealth management,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
glidera,G(3)+L(3)+I(1)+D(4)+E(5)+R(2)+A(1),19,7,10,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
shine,S(3)+H(5)+I(1)+N(5)+E(5),19,5,10,,Symbolizes clarity and growth in investment guidance,available,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
sparkar,S(3)+P(8)+A(1)+R(2)+K(2)+A(1)+R(2),19,7,10,,Represents igniting financial success for advisors,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
leadan,L(3)+E(5)+A(1)+D(4)+A(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
tracker,T(4)+R(2)+A(1)+C(3)+K(2)+E(5)+R(2),19,7,10,,Represents excellence in financial technology solutions,available,taken,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
coreay,C(3)+O(7)+R(2)+E(5)+A(1)+Y(1),19,6,10,,Represents essential foundation for financial growth,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
meshay,M(4)+E(5)+S(3)+H(5)+A(1)+Y(1),19,6,10,,Represents excellence in financial technology solutions,available,parked,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
meshya,M(4)+E(5)+S(3)+H(5)+Y(1)+A(1),19,6,8,,Signifies wisdom and prosperity for advisors,parked,taken,free,free,free,,none,9,9,0.35*9 + 0.20*8 + 0.20*7 + 0.15*10 + 0.10*10
megaan,M(4)+E(5)+G(3)+A(1)+A(1)+N(5),19,6,10,,Conveys reliability and success in wealth management,taken,available,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
megaix,M(4)+E(5)+G(3)+A(1)+I(1)+X(5),19,6,10,,Symbolizes clarity and growth in investment guidance,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
platar,P(8)+L(3)+A(1)+T(4)+A(1)+R(2),19,6,10,,Signifies wisdom and prosperity for advisors,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
platra,P(8)+L(3)+A(1)+T(4)+R(2)+A(1),19,6,10,,Signifies wisdom and prosperity for advisors,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
vipraj,V(6)+I(1)+P(8)+R(2)+A(1)+J(1),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
sutej,S(3)+U(6)+T(4)+E(5)+J(1),19,5,10,,Represents brilliant energy illuminating financial paths,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
suvijay,S(3)+U(6)+V(6)+I(1)+J(1)+A(1)+Y(1),19,7,10,,Embodies trust and innovation in financial advisory,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
suaage,S(3)+U(6)+A(1)+A(1)+G(3)+E(5),19,6,10,,Represents excellence in financial technology solutions,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
suasha,S(3)+U(6)+A(1)+S(3)+H(5)+A(1),19,6,10,,Conveys reliability and success in wealth management,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
sumax,S(3)+U(6)+M(4)+A(1)+X(5),19,5,10,,Embodies trust and innovation in financial advisory,taken,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
samsahay,S(3)+A(1)+M(4)+S(3)+A(1)+H(5)+A(1)+Y(1),19,8,10,,Represents helpful support in investment decisions,taken,available,free,free,taken,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
samlink,S(3)+A(1)+M(4)+L(3)+I(1)+N(5)+K(2),19,7,10,,Signifies wisdom and prosperity for advisors,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
utsaty,U(6)+T(4)+S(3)+A(1)+T(4)+Y(1),19,6,10,,Represents truthful and ethical financial guidance,available,available,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
praway,P(8)+R(2)+A(1)+W(6)+A(1)+Y(1),19,6,10,,Symbolizes clarity and growth in investment guidance,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nivikas,N(5)+I(1)+V(6)+I(1)+K(2)+A(1)+S(3),19,7,10,,Represents development and growth in wealth creation,taken,available,taken,taken,free,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nisaaf,N(5)+I(1)+S(3)+A(1)+A(1)+F(8),19,6,10,,Embodies trust and innovation in financial advisory,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
niraksh,N(5)+I(1)+R(2)+A(1)+K(2)+S(3)+H(5),19,7,8,,Embodies trust and innovation in financial advisory,available,taken,free,free,free,,none,9,9,0.35*9 + 0.20*8 + 0.20*10 + 0.15*10 + 0.10*10
nilead,N(5)+I(1)+L(3)+E(5)+A(1)+D(4),19,6,10,,Embodies trust and innovation in financial advisory,available,available,taken,free,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nihub,N(5)+I(1)+H(5)+U(6)+B(2),19,5,10,,Embodies trust and innovation in financial advisory,taken,parked,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
nimega,N(5)+I(1)+M(4)+E(5)+G(3)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
anmela,A(1)+N(5)+M(4)+E(5)+L(3)+A(1),19,6,10,,Represents excellence in financial technology solutions,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
anvikas,A(1)+N(5)+V(6)+I(1)+K(2)+A(1)+S(3),19,7,10,,Represents development and growth in wealth creation,available,available,free,taken,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
anmega,A(1)+N(5)+M(4)+E(5)+G(3)+A(1),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,free,taken,free,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
abnetr,A(1)+B(2)+N(5)+E(5)+T(4)+R(2),19,6,10,,Conveys reliability and success in wealth management,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
abdharm,A(1)+B(2)+D(4)+H(5)+A(1)+R(2)+M(4),19,7,7,,Embodies trust and innovation in financial advisory,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*7 + 0.20*10 + 0.15*7 + 0.10*10
abavish,A(1)+B(2)+A(1)+V(6)+I(1)+S(3)+H(5),19,7,10,,Conveys reliability and success in wealth management,taken,available,taken,free,taken,true,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
abpeak,A(1)+B(2)+P(8)+E(5)+A(1)+K(2),19,6,10,,Symbolizes clarity and growth in investment guidance,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
abultra,A(1)+B(2)+U(6)+L(3)+T(4)+R(2)+A(1),19,7,8,,Conveys reliability and success in wealth management,available,available,free,taken,free,,close,9,9,0.35*9 + 0.20*8 + 0.20*10 + 0.15*7 + 0.10*10
vedray,V(6)+E(5)+D(4)+R(2)+A(1)+Y(1),19,6,10,,Represents ancient Vedic wisdom guiding modern financial decisions,available,taken,free,taken,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
balvijn,B(2)+A(1)+L(3)+V(6)+I(1)+J(1)+N(5),19,7,10,,Embodies trust and innovation in financial advisory,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
tejsaty,T(4)+E(5)+J(1)+S(3)+A(1)+T(4)+Y(1),19,7,10,,Represents brilliant energy illuminating financial paths,taken,available,free,taken,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
balmela,B(2)+A(1)+L(3)+M(4)+E(5)+L(3)+A(1),19,7,10,,Embodies trust and innovation in financial advisory,taken,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
melabal,M(4)+E(5)+L(3)+A(1)+B(2)+A(1)+L(3),19,7,10,,Represents excellence in financial technology solutions,parked,taken,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
balvikas,B(2)+A(1)+L(3)+V(6)+I(1)+K(2)+A(1)+S(3),19,8,10,,Represents development and growth in wealth creation,available,parked,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vikasbal,V(6)+I(1)+K(2)+A(1)+S(3)+B(2)+A(1)+L(3),19,8,10,,Represents development and growth in wealth creation,available,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
balsaaf,B(2)+A(1)+L(3)+S(3)+A(1)+A(1)+F(8),19,7,10,,Represents excellence in financial technology solutions,available,taken,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
saafbal,S(3)+A(1)+A(1)+F(8)+B(2)+A(1)+L(3),19,7,10,,Embodies trust and innovation in financial advisory,available,available,taken,free,taken,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
ballead,B(2)+A(1)+L(3)+L(3)+E(5)+A(1)+D(4),19,7,10,,Signifies wisdom and prosperity for advisors,available,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
leadbal,L(3)+E(5)+A(1)+D(4)+B(2)+A(1)+L(3),19,7,10,,Represents excellence in financial technology solutions,taken,parked,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
hubbal,H(5)+U(6)+B(2)+B(2)+A(1)+L(3),19,6,10,,Signifies wisdom and prosperity for advisors,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
satniti,S(3)+A(1)+T(4)+N(5)+I(1)+T(4)+I(1),19,7,10,,Represents truthful and ethical financial guidance,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nitisat,N(5)+I(1)+T(4)+I(1)+S(3)+A(1)+T(4),19,7,10,,Represents truthful and ethical financial guidance,available,taken,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
maxsaty,M(4)+A(1)+X(5)+S(3)+A(1)+T(4)+Y(1),19,7,10,,Represents truthful and ethical financial guidance,available,taken,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
nyaylink,N(5)+Y(1)+A(1)+Y(1)+L(3)+I(1)+N(5)+K(2),19,8,10,,Symbolizes clarity and growth in investment guidance,available,available,free,taken,free,,close,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
jeetray,J(1)+E(5)+E(5)+T(4)+R(2)+A(1)+Y(1),19,7,10,,Represents excellence in financial technology solutions,taken,available,taken,free,taken,true,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
rayjeet,R(2)+A(1)+Y(1)+J(1)+E(5)+E(5)+T(4),19,7,10,,Symbolizes clarity and growth in investment guidance,available,taken,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
waylabh,W(6)+A(1)+Y(1)+L(3)+A(1)+B(2)+H(5),19,7,9,,Signifies wisdom and prosperity for advisors,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*9 + 0.20*10 + 0.15*7 + 0.10*10
waysahay,W(6)+A(1)+Y(1)+S(3)+A(1)+H(5)+A(1)+Y(1),19,8,10,,Represents helpful support in investment decisions,available,available,free,free,taken,,none,8,9,0.35*8 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
sevaray,S(3)+E(5)+V(6)+A(1)+R(2)+A(1)+Y(1),19,7,10,,Symbolizes clarity and growth in investment guidance,parked,parked,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
bodah,B(2)+O(7)+D(4)+A(1)+H(5),19,5,10,,Conveys reliability and success in wealth management,available,available,taken,free,taken,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vijun,V(6)+I(1)+J(1)+U(6)+N(5),19,5,10,,Symbolizes clarity and growth in investment guidance,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
proaj,P(8)+R(2)+O(7)+A(1)+J(1),19,5,10,,Represents excellence in financial technology solutions,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
praoj,P(8)+R(2)+A(1)+O(7)+J(1),19,5,10,,Embodies trust and innovation in financial advisory,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
piath,P(8)+I(1)+A(1)+T(4)+H(5),19,5,9,,Symbolizes clarity and growth in investment guidance,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*9 + 0.20*10 + 0.15*7 + 0.10*10
paith,P(8)+A(1)+I(1)+T(4)+H(5),19,5,9,,Embodies trust and innovation in financial advisory,available,available,free,free,free,true,close,9,9,0.35*9 + 0.20*9 + 0.20*10 + 0.15*10 + 0.10*10
patih,P(8)+A(1)+T(4)+I(1)+H(5),19,5,10,,Represents excellence in financial technology solutions,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
dishea,D(4)+I(1)+S(3)+H(5)+E(5)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,parked,available,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
ojoas,O(7)+J(1)+O(7)+A(1)+S(3),19,5,10,,Represents excellence in financial technology solutions,available,available,taken,free,taken,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vaeer,V(6)+A(1)+E(5)+E(5)+R(2),19,5,10,,Represents excellence in financial technology solutions,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
veear,V(6)+E(5)+E(5)+A(1)+R(2),19,5,10,,Symbolizes clarity and growth in investment guidance,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
vieer,V(6)+I(1)+E(5)+E(5)+R(2),19,5,10,,Represents excellence in financial technology solutions,taken,available,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
